Release_Date,Category,Product,Sub_Product,Function,Sub_Function,Release_Summary,Release_Note,Slack Link,Product Video,CS Video Int,CS Video Ext,Release_Note_Link,Documentation,Assigned Resource,CS Video Added Date
1/31/2023,Utility,Secure,Falco,,,Read Environment Variable from /proc files in Container,"Often credentials or useful information are stored in environment variables so attackers read files in /proc folder to discover all environment variables and try to find something useful to achieve privilege escalation, lateral movement or persistence. The rule is scoped in container since it was too noisy on hosts.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
1/31/2023,Utility,Secure,Falco,,,Suspicious openssl custom library loaded,"This rule detects custom libraries being loaded by openssl. This functionality can be used to load and execute maliciously crafted custom libraries.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
1/31/2023,Product Feature,Platform,Platform Integration,Dashboard/Data Source,,TS Usage & Agent and Job TS Dashboard,"What?
New TS usage dashboard and Agent and Jobs TS dashboard with brand new metrics to provide better insight in TS and agent usage (check the screenshots)
Why?
Old TS and agent dashboards were missing metrics that would allow customers to understand their usage better, so we added sysdig_ts_hourly_usage, sysdig_ts_hourly_overage, sysdig_ts_entitlement, and sysdig_license_agent_limit metrics
Availability?
GA on SaaS, US east (US1) already deployed, other regions to follow by the end of the week. Not available for IBM",Slack Link,NA,?,?,NA,NA,,
2/1/2023,Product Feature,Secure,VM,Reporting,,In Use & Risk Accepted - as Fields/Filter,,Slack Link,NA,Video,Video,NA,Docs Link,Majid,07/28/2023
2/1/2023,Utility,Secure,Threat Generator,,,"New Tests: 
PRROT.EXEC
USERFAULTFD.HANDLER
RECON.LINPEAS

Fixed/modified Tests
LD.SO.PRELOAD
ROOTKIT.DIAMORPHINE
RECON.GPG

New Supported Distro :cd::
CentOS 7 hosts! ",":new: Tests:
PROOT.EXEC - lets you use + detect a BYOFS attack as detailed in this blog post
USERFAULTFD.HANDLER - (the rule to detect this is off by default) - Unprivileged Delegation of Page Faults Handling to a Userspace Process
RECON.LINPEAS - LINux PrivEsc As a Service - handy “stage 1” test to simulate an attacker’s recon efforts

Fixed/modified Tests :hammer::
LD.SO.PRELOAD - fixed
ROOTKIT.DIAMORPHINE - now supported on CentOS 7/Kernel 3.10.x hosts!
RECON.GPG - the rule in Secure was fixed to detect this test!

New Supported Distro :cd::
CentOS 7 hosts! ",Slack Link,NA,NA,NA,NA,NA,,
2/2/2023,Product Feature,Platform,Platform Integration,Dashboard/Data Source,,"Showing only connected clusters
Delete of cloud accounts via api","Simplifying regions under Datasources -> Accounts page, to only include connected clusters (attempts made, count as well)
DELETE of cloud accounts via API, is now supported as well",Slack Link,NA,?,?,NA,NA,,
2/9/2023,Product Feature,Secure,Posture,Compliance,,Auto-Accept of Violations created by our Sysdig Components,"What?
Auto-Accept of Violations created by our Sysdig Components, with reasons supplied by the relevant Sysdig Engineering teams (check the screenshot example)
Customers will see all those sysdig-made accepted risks in the (new) Compliance Results
Why?
Users saw unexplained violations on Sysdig-owned services that reduced their posture score - we wanted to reduce unwanted friction
""Being a role model is the most powerful form of educating."" (John Wooden)We want to show users what is the right way to address violations that are required to keep for wanted service behavior.
Availability?
Done automatically for every known violation found by the new Compliance module.
If a user accepted a ""Sysdig violation"" before we did, we keep their acceptance until they revoke it. In the next scan, it will be auto-accepted by Sysdig.
If a user installed Sysdig components using the old helm chart - there are violations that we don’t cover (remediation tip: install using the new chart)
Docs?
N/A
For any questions please use #ws-compliance
How do I turn this on?
Relevant only if you use the new Compliance module, It's GA on all SaaS regions except IBM Cloud.",Slack Link,NA,?,?,NA,NA,,
2/10/2023,Component,Secure,Fargate,,,4.0.0,"End of Life
The local installer used to deploy the instrumentation stack is no longer supported.

Deprecation Notice
The CloudFormation template serverless-instrumentation.yaml has been deprecated.

New Features
Serverless Patcher
The Serverless Agent 4.0.0 provides serverless-patcher, a new containerized template patcher that can run locally and be integrated into CI/CD pipelines.

CloudFormation Template instrumentation.yaml
The Serverless Agent 4.0.0 provides instrumentation.yaml, a new CloudFormation template to deploy the automation to instrument (that is to patch) templates on Cloud.

SecretsManager Support for the Orchestrator Agent
Secrets like the Access Key and the Proxy Password can be now automatically fetched and provided to the orchestrator agent at deployment time.

Custom CA Certificates Support for the Orchestrator Agent
The orchestrator agent supports the uploading of custom CA certificates. That allows the SSL certificate verification of OnPrem backends and proxies.

Workload Agent Logs Fine-Tuning
Logs can be tuned and controlled at the fine-grained component level. This can avoid excessive logging from certain components, or enable extra logging from specific components for troubleshooting.

Defect Fixes
Runtime Instrumentation Exits
The runtime instrumentation exits when the main process exits, thus avoiding waiting other process to finish and keeping the container alive.

Renamed Parameter in CloudFormation Template orchestrator-agent.yaml
The Gateway parameter has been renamed to NetworkType in the CloudFormation template orchestrator-agent.yaml.

Exact Image Tags
The CloudFormation stacks uses exact tags now, instead of latest.

Redundant Wildcard Permissions
Redundant wildcard permissions have been removed from the TaskRole of the orchestrator-agent.

SIGINT/SIGTERM Propagation
The runtime instrumentation propagates SIGINT and SIGTERM signals to the instrumented workload now.

Honor Log Silent Mode in the Workload Agent
The `silent log mode prevents environment variables from being printed now.

List Separator to OptIn/OptOut Containers to be/from being Instrumented
Colons are now required as list separators to OptIn/OptOut containers. Commas are no longer supported.

Example
In the TaskDefinition, Tags can be leveraged to explicitly instrument some containers of the task, or prevent a bunch of them from being instrumented. For example, the following tag prevents myContainer1 and myContainer2 from being instrumented when the template patching runs in OptOut mode (default):

Tags:
  - Name: ""kilt-ignore-containers""
    Value: ""myContainer1:myContainer2""
Vulnerabilities
Fixed the following vulnerabilities with the orchestrator agent:

CVE-2022-28948
CVE-2022-47629
CVE-2022-41721
Fixed the following vulnerabilities with the workload agent:

CVE-2022-47629",Slack Link,NA,NA,NA,Release Notes,NA,,
2/10/2023,Component,Platform,OnPrem,,,5.1.8,"Upgrade Process
Supported Upgrades From: 4.0.x, 5.0.x

For the full supportability matrix, see the Release Notes. This repository also includes the on-prem Installation instructions.

Defect Fixes
Fixed a time unit issue for Elasticsearch resolvers.
Fixed an issue where container metadata labels missing for JVM metrics.
Fixed an issue where sysdig_fs_* metrics not being discovered.",Slack Link,NA,NA,NA,Release Notes,NA,,
2/13/2023,Component,Monitor,Prometheus Integration,,,1.9.0,"Integrations:
Feat: Install and configure windows machine in AWS in order to configure windows exporter
Feat: New k8s-cAdvisor integration
Fix: Etcd default job with new ports and certificate path
Feat: PoC of Windows Installer with Windows Exporter and Prometheus Agent
Internal tools and docs:
Refactor: Adapt Jenkins job in Prometheus-integrations repo to make it smarter
Doc: Create Confluence docs for the Windows Installer of the Windows Exporter
Feat: Update credentials in github actions tokens and variables in order to avoid promcat user credentials
Transfer prometheus-integrations Sysdiglabs repository to GitHub Draios organization
Feat: Migrate prometheus integrations repository to draios
Feat: Migrate tokens from sysdiglabs to draios repository
Test: Modify orphan test github action and apply this action in main branch too
Fix: Test for orphan templates only verify dashboard-templates folder",Slack Link,NA,NA,NA,Release Notes,NA,,
2/13/2023,Component,Platform,Agent,,,12.11.0,"Feature Enhancements
Search Container Password and Groups
Container password and groups are now searchable in container terminal shell.

Configurable Live Logs Sessions
Start live_logs sessions with the last 100 lines by default, instead of 10.

To configure the tail length, edit the dragent.yaml file as follows:

live_logs:
  tail_lines: 200
Defect Fixes
Remove Proxy Passwords from Logs
The agent logs no longer contain plaintext proxy passwords.

Disable Containerd Events
You can configure Containerd events emission by using the events: >containerd: section in the YAML configuration.

Enhance Legacy Delegation
A fallback mechanism has been added to get the agent pod’s namespace. All the pods with label app: sysdig-agent and their namespace will be listed now.

Display Correct CPU Utilization for Linux Hosts
Monitor UI now shows correct CPU utilization for the Linux host.

Communicate with Kubernetes Clusters with IPV6 Addresses
The cointerface process continue to communicate with Kubernetes clusters with IPs that only has IPV6 addresses.

Fix Cointerface Process Failure
Fixed a problem in agent 1v2.10.x that could cause the cointerface process to fail when k8s_delegated_nodes was set to 0.

Make CRI Socket Path Searchable in EKS+Bottlerocket Environments
The CRI socket path used by EKS+Bottlerocket is added to the set of paths automatically searched by the agent.

Send Stale Makers for Failed Scrapes
Fixed an issue that could intermittently cause the agent to send invalid Prometheus values instead of stale markers for failed scrapes.

Agent Starts as Expected on Fedora
Fixed agent startup failure on cloud variants of Fedora v35+ when no kernel headers are available.
",Slack Link,NA,NA,NA,Release Notes,NA,,
2/14/2023,Utility,Secure,Falco,,,OpenSSL File Read or Write,"This rule detects the internal enc command of OpenSSL being used to read or write files. This functionality can be used to perform privileged reads or writes outside of a restricted filesystem.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/14/2023,Utility,Secure,Falco,,,Users Group Management Event Detected,"Sometimes attackers create custom groups, with custom permissions, useful during the exploit phase. This rule detects all the creation, deletion or changes to groups of users, but can be noisy since groups are created and edited when containers are created. Because of this we are putting this in the Notable events policy.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/14/2023,Utility,Secure,Falco,,,User Management Event Detected,"Attackers can create custom users to improve compatibility or to obtain custom permissions on a certain user. Sometimes custom users and groups are created. This rule detects all the creation, deletion or changes on users.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/15/2023,Component,Platform,Terraform Provider,,,0.5.48,"Add scanning policies and assignments for legacy engine (#248)
feat(monitor): support different regions for opsgenie notification channel (#251)
fix(monitor-cloud-account): GCP cloud account creation test with cloudauth service (#250)",Slack Link,NA,NA,NA,Release Notes,NA,,
2/15/2023,Product Feature,Secure,Detection & Response,Falco,Policy/Rule,Grouped by source (type),"A quick update on improvements on the Falco Rules Library page. We now show rules grouped by source (type) and have a type column with corresponding icon.  We have also added a filter to see custom or managed (aka default) rules. This should make navigation of the rules library easy. (edited) 
",Slack Link,NA,?,?,NA,NA,,
2/16/2023,Component,Secure,Cloud Connector,,,0.16.28,"Remove unused eks/k8s image scanner (#801)
This will fix 3 high vulnerabilities",Slack Link,NA,NA,NA,,NA,,
2/16/2023,Product Feature,Secure,Detection & Response,Insights,,Grouped by User,,Slack Link,NA,?,?,NA,NA,,
2/17/2023,Product Feature,Secure,Posture,Compliance,KSPM,Support for Open Shift OCP4,,Slack Link,NA,NA,NA,NA,NA,,
2/21/2023,Utility,Secure,Falco,,,Modify Timestamp attribute in File,"In some attack paths the threat actors try to change the timestamps associated to files to avoid detection. Often defensive mechanisms check when files have been modified and by who, changing timestamps is a good option to avoid this kind of analysis and hide traces during an exploitation. The rule looks for touch processes ran with “-t” or “-d” options.
Policy: Sysdig Runtime Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/21/2023,Utility,Secure,Falco,,,Launch Code Compiler Tool in Container,"This rule detects the usage of compilers inside of containers: this behaviour is marked as malicious because containers are usually shipped with compiled code (think about them as tools ready to use) and compilers are often used by attackers to trace executables, try to inject commands or manipulate the executions. Therefore, tools like gcc or clang (detected with this rule) are not available in images, so attacks needs to download and install them using package managers and their usage is for sure an IoC.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/21/2023,Utility,Secure,Falco,,,Put Bucket ACL for AllUsers,"This rule detects an access control list (ACL) being applied to an AWS S3 bucket that grants permissions to the generic AllUsers (aka anonymous) entity. This may allow public sources to list, read, or modify files in a bucket.
Policy: Sysdig AWS Threat Detection
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,Create Hardlink Over Sensitive Files,"This rule detects a hardlink being created over a sensitive file. This functionality can be used to access sensitive file contents outside of a restricted filesystem.
Policy: Sysdig Runtime Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,GCP Create Compute VM Instance,"This rule detects Compute Virtual Machine instances being created in GCP environments.
Policy: Sysdig GCP Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,GCP Enable API,"This rule detects the enablement of API services in GCP environments.
Policy: Sysdig GCP Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,GCP Create Project,"This rule detects the creation of a Project in GCP environments.
Policy: Sysdig GCP Notable Events
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,Azure Storage Account Created,"Detects the creation of an Azure Storage Account.
Policy: Sysdig Azure Activity Logs
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
2/28/2023,Utility,Secure,Falco,,,Azure Storage Account Deleted,"Detects the deletion of an Azure Storage Account.
Policy: Sysdig Azure Activity Logs
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
3/1/2023,Component,Platform,Terraform Provider,,,0.5.49,Legend on time chart panel is now configurable via terraform.,Slack Link,NA,NA,NA,Release Notes,NA,,
3/2/2023,Component,Secure,SFC-GCP-TF,,,0.9.7,"some code refactor from 
@Noah
 for organizational workload identity usage (pending to deprecate per-project approach)
an addition from 
@alvaro
 to re-use existing workload identity, via data.  only made available on single-* examples for demo env purpose",Slack Link,NA,NA,NA,Release Notes,NA,,
3/2/2023,Component,Monitor,Prometheus Integration,,,1.10.0,"Integrations:
- Fix: Add new zone label to GCP integrations
- Feat: New integration - Microsoft IIS
- Feat: New integration - Microsoft SQL Server Exporter
- Sec: Security updates on exporters UBI images (2023-02)
- Sec: Update helm chart with new image version
- Doc: Correct TS consumption for Istio integration in our documentation
- OSS: Create an issue in the Windows exporter repo with a list of fixes
- OSS: Contact the Prometheus community to propose that Prometheus should be able to be installed as a Windows Service
Dashboards and alerts:
- Fix: Linux Host Integration should be listed in the Host Infrastructure category
- Feat: Improve Memory Usage dashboard for Linux VMs and maybe join with Host Resource Usage
- Fix: Missing parenthesis in PromQL expression in GCP PostgreSQL
- Fix: Update Timeseries dashboard with new metric name
- Fix: Kubernetes Alert for nodes down lack comparison with zero
- Fix: Remove the dashboard ""_AWS CloudWatch: DynamoDB Overview By Operation""
- Fix: Windows dashboards scope to include job label
- Refactor: Convert existing AWS CloudWatch templates to prometheus format
Advisor:
- Doc: Write a guide to create or understand Advisors
- Feat: Define a YAML schema to be used as input of the Advisor Manager
PromCat.io and Promotion:
- Feat: Implement github action in the integrations repo to generate Grafana dashboard
- Feat: Implement Grafana dashboard translate in the integrations manager
- Feat: Implement panel types in Sysdig-Grafana dashboard translator (M1)",Slack Link,NA,NA,NA,Release Notes,NA,,
3/2/2023,Product Feature,Secure,Posture,Compliance,,Improved Search and support for IKS & MKE,"Our ~1000 Posture Controls are now easier to find, by their Name, Description, Severity, Type and Target platform or distribution, anywhere you are looking for them:
Filtering for controls in the Control library
Filtering in the Policies library, including while editing your custom policy
We also added enhanced visibility of control targets by showing the supported platform and distributions on each control. (including supported versions for Vanilla K8s and OCP)
Support for IKS and MKE  :tada:
We have added Posture support and policies for new Kubernetes distributions:
IBM Cloud Kubernetes Service (IKS):
Sysdig IBM Cloud Kubernetes Service (IKS) Benchmark policy.
Mirantis Kubernetes Engine (MKE):
Sysdig Mirantis Kubernetes Engine (MKE) Benchmark policy.",Slack Link,Video,NA,NA,NA,NA,,
3/2/2023,Component,Platform,Agent,,,12.12.0,"Optimize Collecting Runtime Rules
The Falco rules optimizer has been enabled by default. This performs optimizations on the collection of runtime rules in conjunction with system call events to help reduce agent CPU usage.

Defect Fixes
Fix Vulnerabilities
Fixed the following:

CVE-2022-41723
CVE-2022-41723
Fix Proxy Connection
Fixed an issue where proxy connection could fail if used in conjunction with the agent console.

Fix nss_compat Records Parsing
Upgrade to v12.11.0 works as expected. The nss_compat records in /etc/passwd are now parsed correctly if data is missing, which fixes the issue of the agent not being ready after an upgrade.
",Slack Link,NA,NA,NA,Release Notes,NA,,
3/2/2023,Utility,Secure,Threat Generator,,,"New Test:
Create Hidden Files
Remove Bulk Data from Disk
Sudo Potential Privilege Escalation (PRIVESC.SUDO)
Create files below dev (SUBTERFUGE.FILEBELOWDEV)
Create Symlink Over Sensitive Files (SYMLINK.ETC.SHADOW)
Modify Timestamp attribute in File (TIMESTOMP)

Fixed/modified Tests :hammer::
:cd: CentOS install script has been fixed when running w/ sudo
",,Slack Link,NA,NA,NA,NA,NA,,
3/6/2023,Component,Platform,Terraform Provider,,,0.6.0,added support for group mappings,Slack Link,NA,NA,NA,Release Notes,NA,,
3/7/2023,Component,Platform,Terraform Provider,,,0.7.0,we added ability to customise query formatting on dashboards,Slack Link,NA,NA,NA,Release Notes,NA,,
3/7/2023,Utility,Secure,Falco,,,Create Bucket,"Detects the creation of an AWS S3 Bucket.
Policy: Sysdig AWS Notable Activity
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
3/7/2023,Utility,Secure,Falco,,,Delete Bucket,"Detects the deletion of an AWS S3 Bucket.
Policy: Sysdig AWS Notable Activity
False Positive Chance: Low",Slack Link,NA,NA,NA,NA,NA,,
3/7/2023,Product Feature,Platform,Settings,Privacy,,Privacy Settings,allow users to control how we collect their product usage data as well as event stats to improve our products,Slack Link,NA,?,?,NA,NA,,
3/7/2023,Product Feature,Secure,Detection & Response,Events,Events Feed,Grouping in runtime poilcy page,,Slack Link,NA,?,?,NA,NA,,
3/7/2023,Product Feature,Secure,Detection & Response,Falco,Policy/Rule,Mimimize/maximize the window on Rules editor ,,Slack Link,NA,NA,NA,NA,NA,,
3/9/2023,Component,Secure,Cloud Connector,,,0.16.31,"Bug Fixes
Use insecure skip TLS flag in image fetcher, if provided (#804)
Features
Add support for reverse exception appending (#806)",Slack Link,NA,NA,NA,,NA,,
3/9/2023,Product Feature,Monitor,Costs,,,Recording rules have been enabled at backend to improve Advisor complex querr responses,"The team has been working hard to address this and we’re now using Prometheus recording rules to compute these complex queries in the background, which is resulting in a significant reduction in loading times. See examples from Michele’s videos I’ve attached which is Concur where we see a 2x improvement.",Slack Link,"With RR
Without RR",NA,NA,NA,NA,,
3/9/2023,Product Feature,Monitor,Costs,GCP,,GCP metrics are now natively supported by Sysdig Monitor,,Slack Link,NA,?,?,NA,NA,,
3/9/2023,Product Feature,Secure,Posture,Inventory,,Inventory in Technical Preview,,Slack Link,Video,NA,NA,NA,Docs Link,,
3/10/2023,Component,Secure,Cloud Connector,,,0.16.32,"Bug Fixes
Make loader append exceptions even if the original did not contain one (#809)
Code Refactoring
[Internal] Remove unused accountID return parameter (#807)",Slack Link,NA,NA,NA,,NA,,
3/13/2023,Product Feature,Monitor,Alert,,,Users can translate to promQL in Alerts,,Slack Link,Video,?,?,NA,NA,,
3/12/2023,Component,Platform,Agent,,,12.12.1 ,"This hotfix release provides the following defect fixes:

Podman containers running as unprivileged systemd services are detected correctly.
Container image metadata is reported correctly with Podman 4.x.",Slack Link,NA,NA,NA,Release Notes,NA,,
3/13/2023,Component,Secure,Admission Controller Int,,,3.9.17 ,"Add support for reverse order on rule exceptions from different origins (Secure UI, Policy Tuner, etc)",Slack Link,NA,NA,NA,Release Notes,NA,,
3/14/2023,Component,Platform,Terraform Provider,,,"0.7.1
","Features
Support Azure Platform and GCP Audit log data source on sysdig_secure_rule_falco resource #
Better handling errors when policy missing
Support notify_on_resolve on Sysdig monitor alert resource",Slack Link,NA,NA,NA,Release Notes,NA,,
3/15/2023,Component,Platform,Terraform Provider,,,0.7.2,In short we introduced new v2 client which will allow us to support IBM integration with ease pretty soon. Teams are refactored to use this new client.,Slack Link,NA,NA,NA,Release Notes,NA,,
3/17/2023,Component,Platform,Terraform Provider,,,0.7.3,"we  bumped dependencies from dependabot changes
also done refactoring on newly introduced client",Slack Link,NA,NA,NA,Release Notes,NA,,
3/20/2023,Component,Platform,Terraform Provider,,,0.7.4,fixed the issue of sending blank output and description while managing falco rules,Slack Link,NA,NA,NA,Release Notes,NA,,
3/20/2023,Product Feature,Platform,Settings,Subscription,,Added Compute Resrouce Usage report to Subscription page,,Slack Link,NA,?,?,NA,NA,,
3/21/2023,Component,Secure,SFC-AWS-CFT,,,0.6.5 ,Fixed some issues with CI/CD,Slack Link,NA,NA,NA,Release Notes,NA,,
3/22/2023,Component,Platform,Terraform Provider,,,1.0.0,We removed sysdig_secure_benchmark_task resource since it is also removed from API.,Slack Link,NA,NA,NA,Release Notes,NA,,
3/23/2023,Product Feature,Secure,Posture,Compliance,,Zones for Git,,Slack Link,NA,Video,,NA,Docs Link,Srikant,07/23/2023
3/23/2023,Component,Platform,Terraform Provider,,,1.0.1,"In summary, disabling capture on policy (tracked by terraform) via UI will cause drift in terraform. Before 1.0.1 version, this drift is ignored and terraform plan showed no changes.",Slack Link,NA,NA,NA,Release Notes,NA,,
3/23/2023,Component,Secure,CLI Scanner,,,1.3.6 ,Improvements and bug-fixes related to Java packages handling (related to ESC-2949 andESC-3025),Slack Link,NA,NA,NA,NA,NA,,
3/23/2023,Component,Monitor,Prometheus Integration,,,1.11.0,"Integrations:
- Feat: New integration - IBM Cloud PostgreSQL
- Feat: New integration - IBM Cloud MongoDB
- Feat: New integration - KNative (integration with jobs only)
- Fix: Adapt elasticsearch integration to new updates from upstream in order to fix environment variables changes
- Fix: URL param for ElasticSearch exporter is not properly working
- Feat: Improve CoreDNS integration dashboard and alerts with latency metrics
- Feat: Modify the enabled-by-default collectors in the Windows Installer of the Windows Exporter
- Feat: Use default Production values in Windows Installer UI
- Fix: Add missing dashboard screenshots urls to integrations
- Feat: add domain label in the Windows Installer of the Prometheus Agent job
- Feat: Investigate how to make the Windows Installer of the Windows Exporter to properly install new versions
- Feat: Investigate how to make the Windows Installer of the Windows Exporter to properly repair and update installations
- Feat: Allow being able to modify the collectors in the Windows Installer of the Windows Exporter
- Fix: Windows Installer not fetching properly the computer name
- Fix: OpenShift State Metrics seems like “configure integration” but it’s reporting metrics
- Fix: Missing “image” value in instructions for etcd integration
- Feat: The Windows Exporter in the Windows Installer should use a config file
- Feat: Investigate new filter discovery for Control Plane integrations
- Fix: Add Prerequisites to the Nginx-Ingress integration
Dashboards and alerts:
- Fix: Nginx metrics update in order to avoid deprecated metrics for new version
- Fix: Remove events for Cloud dashboards
- Feat: Deprecate linux Memory Usage dashboard
- Fix: Linux Host Overview dashboard panel label column name
- Fix Agents and Jobs Time Series dashboard showing AVG instead of SUM in a panel
- New Time Series Usage Dashboard saying “hour” when dashboard shows daily samples
- Fix: check Azure dashboards for namespace label
- Feat: Modify troubleshoot file template and add note as advice for future content
Advisor:
- Feat: Integrate the new advisor-engine into the Frontend",Slack Link,NA,NA,NA,Release Notes,NA,,
3/27/2023,Component,Platform,Terraform Provider,,,1.0.2,fixes the bug (some bad serialisation of certain policy actions in terraform state) introduced as a side effect of 1.0.1 version.,Slack Link,NA,NA,NA,Release Notes,NA,,
3/27/2023,Utility,Secure,Falco,,,CIS Critical Security Controls v8,"The CIS Critical Security Controls (CIS Controls) are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are mapped to and referenced by multiple legal, regulatory, and policy frameworks. CIS Controls v8 (latest) has been enhanced to keep up with modern systems and software. Movement to cloud-based computing, virtualization, mobility, outsourcing, Work-from-Home, and changing attacker tactics prompted the update and supports an enterprise's security as they move to both fully cloud and hybrid environments.
This policy, with 1,316 controls classified into 18 requirement groups, is now available as part of Sysdig's posture offering.",Slack Link,NA,NA,NA,NA,NA,,
3/27/2023,Utility,Secure,Falco,,,OWASP Kubernetes Top Ten,"The OWASP Kubernetes Top Ten is aimed at helping security practitioners, system administrators, and software developers prioritize risks around the Kubernetes ecosystem. The Top Ten is a prioritized list of these risks. This policy, containing 344 controls classified into 10 requirements, is now available in Secure.",Slack Link,NA,NA,NA,NA,NA,,
3/27/2023,Utility,Secure,Falco,,,Updated - CIS Amazon Web Services Foundations Benchmark to v1.5.0,"We are happy to announce the update of the existing CIS Amazon Web Services Foundations Benchmark policy to its latest version at the time (v1.5.0). This new version includes a new resource type (EFS File System) for greater coverage, as well as new controls for the Amazon Elastic File System (EFS) and Amazon Relational Database Service (RDS) services. The total number of controls in this new update has been raised up to 79",Slack Link,NA,NA,NA,NA,NA,,
3/27/2023,Product Feature,Secure,Posture,CIEM,IAM,Enhanced Risk Scoring in CIEM,"Enhanced Risk scoring - 
 CIEM is happy to announce an enhancement to Risk Scoring with more in depth explanations of what contributed to the Risk Label we assign to each identity entity. This came as a result of customer feedback that they operate under a Trust but Verify mindset when it comes to Security.",Slack Link,NA,Video,Video,NA,NA,Gaurang,08/10/2023
3/28/2023,Component,Secure,Plugins-Jenkins,,,2.2.9,"We have just release version 2.2.9 of the Jenkins Plugin :party_blob:
bump of the internal cli-scanner to 1.3.6
addition of a new parameter (Custom Version at the global config level in the UI - customCliVersion at job level) to have the possibility to specify and use a specific version of the scanner instead of the default one (mind that compatibility issues may arise at report level, so use it at your own risk)",Slack Link,NA,NA,NA,,NA,,
3/30/2023,Component,Platform,Agent,,,12.13.0 ,"Feature Enhancements
Kernel Support
Supports kernel versions 6.2.x.

Version Upgrade for Library Benchmark
Library Benchmark has been updated from version 1.5.0 to 1.7.1.

Fixed Vulnerabilities
Fixed CVE-2022-40897.

Collect PodDisruptionBudget Metrics
Added support for collecting Kubernetes PodDisruptionBudget metrics.

Send Start and Ready Time for Pods
Added support for sending start time and ready time for a pod when configured. For more information, see Customize KSM Collection.

Defect Fixes
Agent No Longer Fails When Customer ID Is Unspecified
Fixed a problem where an agent, which is stuck in a restart loop due to lack of configured customer ID, would fail to recognize when the configuration was subsequently updated to provide a customer ID.

Agent Retrieves JMX Metrics as Expected
Sysdig agent no longer generates heap dumps while fetching JMX metrics. Agent now performs a check whether the removed JVM is OpenJ9, and in such case it will not attach to it.
",Slack Link,NA,NA,NA,Release Notes,NA,,
4/3/2023,Component,Platform,Terraform Provider,,,1.1.0,"Users can use IBM API key and Instance ID to authenticate against IBM monitor. Since this new authentication is still under active development we are going to iteratively enable it for each terraform resource starting with teams (next in line are notification channels).
Beside new auth method, IBM users now have ability to specify IBM platform metrics within teams using terraform provider.
We've extended our testing in CI pipeline to run IBM specific tests on IBM specific environments.",Slack Link,NA,NA,NA,Release Notes,NA,,
